obs_id,ra,dec,teff,logg,fe_h,snr
1,7.823142059124355,-17.761003893216184,4441.55245920881,1.966692369257349,0.4610261456863922,94.78186995876784
2,111.18246847764763,-41.07973800809161,7654.646449460902,4.762746970824605,-2.4406962686602216,22.796391106391983
3,255.90620861640116,-1.682406878464647,6205.6345079998355,4.439280917570288,-2.311248059468655,82.84243889990859
4,103.50770684481503,-8.378792260796459,6811.424635293189,2.364809139639871,-1.5028008872603618,49.56819086642127
5,129.65465721316505,-60.98008675420006,6728.788703779026,4.017638198755963,-1.984445289440833,141.18474579923412
6,120.28658295372686,62.76259141909577,4124.748589413353,3.1033736591265115,-0.11625319189530714,178.0390250338775
7,344.86750634931883,-16.001681773368986,5425.566600238504,3.9630571187523516,-2.4706527279335266,82.94610343001915
8,20.73286594932062,78.11176581860727,4981.283295708574,2.404352785166486,-0.9127860439272579,114.61489689809339
9,67.73327362130834,-79.9462174275509,5568.401625841951,4.1262063248699254,0.4997974685605868,103.33155599200146
10,107.90363568976122,-1.1100148938356256,5162.112835435707,3.049705396860103,-0.49839351495898576,78.69238482882845
11,57.516894775545275,-19.684631401251067,6593.467103612877,4.066601237258811,-2.0377166639645603,63.012985073492324
12,139.71371078109007,45.31465861846533,4462.019023913332,1.2279492697813528,-1.4733148789195707,94.76667818051143
13,192.68189514736508,-59.54182268254644,5756.104094758768,3.6772230136723483,0.3655252249156766,97.5340965547608
14,211.41323534888718,-2.366992507700658,6836.059361228508,2.3802827885954647,-0.6196940920388099,156.3946376932961
15,71.54064411109415,47.91039766917294,5265.241065056231,3.4900550331660103,-2.1762899630227146,182.10750662427867
16,118.873368338614,23.47567636884756,4807.32531649498,1.2192115731832,-2.2771481666234985,120.56971323569715
17,275.2193498371117,28.94562171019227,8703.172993454747,3.911276821928988,-2.173766572583551,119.03907320966307
18,259.7521635252594,46.792055768739004,7394.518079014066,2.1949431869592044,-2.2279212788197547,117.01035075984295
19,31.301184003821323,-3.084457580828868,5030.694808687882,4.659944074327108,-2.400311370311434,153.68207617781067
20,180.4004762257549,48.433232253749054,4080.656769160274,0.8851630769366072,-0.4954129850953466,84.3743500351828
21,184.26923207607763,-73.9275696722153,4858.545215429527,2.7396033273541143,0.0021473365945734457,107.28214402007094
22,169.22958416784928,-29.267193002234663,7687.495222503312,1.816754625750419,0.2904884907791061,51.23458032874666
23,37.29541063044657,-83.56031777279883,4459.215628857376,4.172414763336739,-0.45526640116957395,65.79186929947215
24,341.75740075122525,-51.08919819518976,8237.285898078531,1.4077086484354056,-1.9189303733059315,100.33153645792015
25,50.44598128883257,45.27387306947696,5751.172102769751,3.3547728862905832,-0.09220741855209358,50.52585473574648
26,144.7850717125973,86.92730858646436,8634.984690769797,4.426114113573201,-0.8386682961952694,133.07065527530915
27,7.78590281666395,-45.589087283429265,4317.714170675203,2.567338998714255,-1.5955905326891586,133.739607966323
