ra,dec,teff,logg,fe_h,snr,parallax,z
153.09796588640566,48.62377097673178,5946.004589955596,0.6753001619763853,-0.4470912952449986,99.74765146542134,3.444562396295131,0.000875450533875499
78.02629518260073,-35.67355694855818,5490.724795655811,3.6830010763680763,0.28148529108435527,136.53982483848938,13.19088079679618,0.00028226261179633557
123.12716870213933,-42.15811344127352,6510.942673069114,1.3503571886620553,-2.3757045565854105,91.95844946676964,1.2245067819633992,0.0014286516033969563
162.46408212180847,65.7729428206585,3642.871369344615,3.2174002321469453,-2.8211921773828816,93.24915302465132,2.5849361155514217,0.0012721247705773733
249.97140258750582,-34.81872450208227,5131.189418318052,1.1415275675538663,0.25597530597335405,111.54808545619251,2.5564512735168488,0.0007729410325396922
356.11336094876657,-89.57932213387396,7525.299723790528,4.7234000308006685,-0.20740381395528562,64.91157077065083,2.625625844259254,0.0003094828464290185
94.91153429552102,-55.37207489495061,6909.878465881636,4.354649771739083,-1.304225285587854,55.84387197897176,1.7779476438152841,0.0011302067490736418
109.20269977225229,19.547460160126604,8579.049128788363,4.036393072400298,-1.0323348977705895,171.53710375521564,15.974914618232699,0.0003114555646991931
317.0433705426729,9.247898127584449,4576.489138244717,1.2463060646948496,-2.7715470714434955,170.76919337855796,0.874885620038099,0.0012016249533938074
196.09290031175598,-33.34795421182358,3630.375725225983,1.9549374313492782,-0.29242555502578815,32.86517088641371,3.4914337626176355,1e-05
51.02398757557113,-11.216433048361267,3220.1746402584745,4.836326049946234,-0.1357755307922477,141.33308146253918,17.76023158574217,0.00040487008493339386
29.59125838057431,35.63677955548543,3977.8692631896683,3.2766632772302637,-2.2564256091513144,159.44249757405814,2.4446995635578403,0.0011429332958577598
345.03090457485837,-11.275849381169024,5393.030347597374,1.6793747710094384,-1.418556969616862,133.0161423119871,0.42704841589884024,0.0009629183664518883
325.99782919049227,-66.3801222499511,7863.773315322495,4.000260076409986,-1.1912552717905878,12.095329303494555,4.49095315771873,1e-05
197.1725847334197,-49.134070669279694,7350.444207344606,1.7146835265002653,-1.9831056779365552,64.09561635219771,1.014249405954581,0.0013025103178715683
312.14729807726985,51.37828143218806,8611.736951748095,1.3455393748815054,-1.198747576058338,124.79819659770827,3.145360560861763,0.0007491963529922208
