source_id,ra,dec,teff,logg,fe_h,snr
1,242.06708317118355,-35.156964037575065,6414.237545604461,4.1259954713627796,-1.1903205038347067,24.560105736872565
2,228.61952993992674,-63.11777904569284,6807.811430907897,2.96672308434312,0.0014428366116279179,53.326876766435554
3,123.38887273163506,51.8572045198724,4778.058352801191,4.226961909035092,-2.3253255021311277,155.62244536108034
4,314.81486005448056,-41.550931868929624,6777.34460693433,0.7664880791595973,-2.506497921737102,51.346183520074405
5,259.2979394824292,65.06184269678127,3487.3464601599876,3.5072109351240255,-1.996458510125421,167.0699789960979
6,197.48640908954124,-42.147565249343785,6088.3544074908,2.3038862375593108,-1.7309872423381396,54.364193510511704
7,306.35721187227693,68.16818173036035,4156.58106499586,1.714836851505084,0.45067686389831074,100.39376542887494
8,105.97689615617738,-5.025086937513279,3894.348304143614,4.964915200782358,-1.2479958470850074,132.5321448000579
9,283.79495861702617,59.44344745855341,7977.935651769052,4.927530931023517,-2.734918752402478,31.887090551251145
10,198.28831416139897,76.25360004573633,8884.666626605136,2.6122283324821085,-0.5356071064556778,110.06610415654653
11,1.8954846571647455,-74.92391602914032,4482.398289957239,2.2964927454728667,-1.6860775804003643,72.72509764744487
12,154.3386535860111,-12.960269561468735,8345.801648176057,4.374433427333847,0.20658827308281058,124.15378006381425
13,278.5580671850899,-85.25022776918854,5955.823881530092,2.1203126554112104,-1.8589800986132556,98.73650506891104
14,74.81378846344228,-42.40313559650804,5051.532936691885,1.7282319942904705,-2.4874375540318816,144.29525737841112
15,16.331712802851136,-50.89017865066766,4378.961240935241,3.9181696067739606,-2.3837350524325496,54.29247594335747
16,45.860468415160376,76.4370083443865,6652.319574722252,4.515442987827962,-0.5006711967637361,191.30080453582713
17,178.73530170230504,-69.15604496530452,6687.290954031931,3.936720932092995,-1.5248924713932832,120.15325998033816
18,222.64252247494898,54.03355849499604,4288.327158149736,4.449623723156071,-2.1262557728569993,139.25879133715577
19,145.4763404748472,19.512209701650875,5698.818116950917,2.3212142800126263,-0.4532500003638078,123.9707327390239
20,336.19426135653237,-38.43280431094049,3524.005359772639,2.114902056804595,-2.85369060694415,196.11771710321815
21,193.2165523473604,-51.3587552736805,3671.6264530126446,2.3290752158411143,-0.605113731880941,172.34398215393028
22,332.15238040592874,20.802211589170454,5225.646451761115,2.9471097358007143,-0.49649572211261006,52.61159800440079
23,254.44351424618029,-14.398746150196715,6887.68679384854,3.3350963068588353,-0.10739180839889606,181.91411894230725
24,273.6567750625261,56.21696806169561,3299.4936983304315,2.6272404963913276,-1.913456508954506,97.39430330226857
25,16.804242216440038,66.43135073131984,6770.808176541828,4.366134275721191,-2.1256854118659874,89.51391192793717
26,217.3739555513447,27.436011709483353,7981.182191696401,3.392065556521778,-0.8301885208610091,45.08627399929857
27,139.4053621665386,71.33650476905342,7508.337141189044,0.6726615743960789,-1.7163261890426997,66.75633668199282
28,1.2728296136736184,10.448973925988852,5143.975740533405,2.006069988630533,-0.8499740002546514,170.34068237884296
29,52.19505778479916,-42.78343250479678,4308.226264059564,4.678515399771626,0.23496387663057972,135.03342581950858
30,242.4015886258667,37.8552729272171,5667.674799969999,3.4907770279715735,-2.552856342061169,159.94322440776278
31,242.93404154810366,-4.10128363413439,4918.618612343524,1.8330952000154077,-0.5303784871382247,85.39529852609097
32,174.7814938076111,-39.76750676034887,5506.986266213942,0.9482029704176638,-1.4220921807749771,47.81296315492811
33,169.89510707779243,61.854244044518964,7903.850703673137,3.5858585509176213,-2.5050301901393768,21.394970237777237
