raveid,ra,dec,rv,snr,teff,logg,fe_h
3000001,198.2872449268472,20.928264963708713,0.9171675379295553,92.14722700564505,6839.815712837513,3.915230128498574,-2.0588766622192245
3000002,254.93321614251775,12.662293666223519,-49.91515622844062,109.666836472237,5835.582420579325,4.8966854752891456,-0.9457277083632976
3000003,104.72570600865996,-74.39698129935181,6.51221970616655,64.22695593498923,6822.23892081227,3.686647256459001,0.10097754742825593
3000004,183.8979378711587,-82.40872316671903,25.160787480723723,150.48946579591941,6169.449903757395,3.8614268162627905,-0.594500027112709
3000005,321.4609035651557,86.9389144596415,1.2340193119685952,113.5646624299722,4355.993080212397,2.4469836861936596,-1.5159407437925203
3000006,322.6655120160377,-57.829519373014605,-3.111198276615564,80.75624253983864,4600.176039674494,3.552876621382171,-1.8298509762963269
3000007,45.21071176698105,-61.91919190896093,13.050756300196367,155.58040228475184,4897.607972388566,0.8495900139480411,-2.082117461038565
3000008,74.60743612974723,41.318824440174524,22.652749312804094,199.76020392475752,6156.935070891237,1.8437458451961803,0.22663771244075592
3000009,18.528193188298758,-14.348223868247388,21.933482286109435,173.9026538806517,4271.089220744166,0.04993915942635041,-1.02801737807086
3000010,158.69154371422914,-54.38481792418123,-6.85501776536534,21.548219284946445,6229.281856210984,0.8002133949784596,-2.1474476507356597
3000011,10.755435916284103,23.87496103732049,60.69118457512162,176.63301526184907,7645.672375862952,1.9968689669953077,-1.4154774549384086
3000012,164.45996078209598,-16.698872233107522,3.402743752526434,29.394604200298144,3956.7155053093393,3.8173926273428043,-0.7704446767485074
3000013,233.69185714131387,77.62892942326914,57.63133454338232,113.56968253143957,5901.385787012897,1.5004375987359193,-0.3680302733555152
3000014,100.25542175327111,-80.3691687023794,-2.686090745994551,180.30223386619699,5897.054787169911,4.736437809925366,-1.5723947915317396
3000015,243.45176471284725,-81.64327729918489,47.806093028905096,89.8431624283862,7774.292314878232,2.5027050583118706,-0.6499473507842788
3000016,212.7106142698863,-24.075373274224617,32.138255757786986,82.71397240364114,7226.432607461997,1.3480981801713026,0.34462808639627696
3000017,8.633477655779531,57.49345098489158,17.6405374959119,13.741609533563793,3827.8588062476597,4.999693807484599,-2.0516626453878186
3000018,201.1874716767175,-70.28975835970034,-38.4161584862982,194.2664913432191,6576.559115678021,1.1176781955979438,-1.777311267653733
3000019,93.33088088668755,86.49584850846992,44.499099617068794,184.97036997657088,3883.512115452735,4.992609187299805,0.2844556160270746
3000020,149.43643092362507,-76.77497775192879,32.438140794934384,58.86242446695376,7434.307420857706,4.03977083555379,-2.1946208986889575
3000021,102.06902943767474,56.76440902332121,31.544397638612324,145.36593302849138,4380.742408346841,4.632577444679354,-2.216308323160913
3000022,249.52965059267868,78.82170361725525,75.68760683658674,140.62994101242273,5928.978119106861,0.587342497812911,-1.891754439646498
3000023,158.5633383614662,39.986620178779816,-7.599317571250652,132.90750451618158,7526.704568023824,1.9846902902691017,-1.8120392833332661
3000024,56.472385850986775,-43.54404334156637,-37.30093420026881,16.11818205669079,4238.562656802058,0.07951349878472735,-2.3096164307957427
3000025,196.0736464914641,-43.57288988322834,0.04961247478688008,32.82579262381511,4020.1743599541282,3.5356904137555563,-2.2815695519303514
3000026,280.9133152240921,-23.824078987062876,-34.69764517599368,154.89221745350588,4695.084306511829,2.438026289597687,-2.200304148385417
3000027,110.29087165542471,-67.0847491205287,-8.349542338403545,87.35990515868374,6520.06342992526,1.989219696150193,0.3456195042951591
3000028,79.9048382155853,-75.72449766025034,27.849969818949425,12.739795686204536,5749.794392855993,2.0477408914850965,-2.3110704552929224
3000029,139.66965272003355,-45.54626613693855,-83.31812375551186,137.03618960647734,5725.666237715647,2.796965924527577,-1.2762393612815925
3000030,337.098113949755,83.91712715621995,40.20416091540578,180.07260784980429,5003.6991345331635,1.650346739452175,0.37556252116340527
3000031,351.3583520902562,20.266050634167456,24.68486100840021,29.258504863892703,7480.878620207017,0.21835563474334518,-2.3786239223968497
3000032,242.0581233286129,57.619710324650555,63.56740294632444,143.332830689043,4883.973222160405,1.6113691050826668,0.09600877448576872
3000033,325.0202790738233,-2.0844721780314046,14.829469922619898,62.00253989909751,5654.646950496442,4.089523382158724,-1.9388017655158603
3000034,304.47031366554455,38.9089668923549,-31.93118889783694,149.28111728691948,7844.546020085628,2.509105706405108,-0.28189956754473844
3000035,136.0778548784001,-7.874769976506045,18.967661835163334,18.252999663782525,7455.718902989968,0.5338372884113413,-1.170337105838503
3000036,33.19812319382073,47.57538955304966,58.71983274354938,17.54924992343527,5281.78661138914,1.9676552594272896,-1.5833229450096074
3000037,235.22792490847303,-23.769004362313225,19.659876792001143,35.47967747338315,5642.970503129396,4.955390737851405,-0.352649049261748
3000038,200.82267445984235,-86.46339063140407,37.00526437809574,158.30521874629446,7632.208194406628,4.455064193794699,-1.224095103877024
3000039,130.1633147025281,9.333138790014246,51.735496895137665,120.7193011098275,7080.800054608779,4.633510859443478,-0.026415931665709103
3000040,81.0196217423395,-25.342908804445727,67.03367908594365,37.38887781507725,6976.79427968926,2.157959217055185,-1.0602397985995047
3000041,146.3471698954495,-58.46938108550406,-58.57287142631927,71.08053655755464,4689.260644525233,0.9363282157166636,-2.2003896674469603
3000042,168.81848953170086,28.733824647879473,46.43907157514697,73.86961096273636,5031.518213963725,4.2868465705893035,-1.079515903381632
3000043,96.92480817038205,-84.89476361198821,-6.067362699801713,138.4871876013518,4549.023933452449,0.1840581124811258,-1.4421830928087425
3000044,105.04539872115573,-12.032435320152771,22.15469674009563,182.92153208169535,4923.421093845881,0.42469813730104666,-0.6888315083854684
3000045,164.76710375627206,50.688761801408674,-55.29586614026752,84.70935237897623,4105.393167831497,1.0097214232695446,0.41263823240444175
3000046,309.79220866089355,80.4267628194552,-44.251302973305485,175.51722707262024,5979.395002829746,1.4926971813401964,0.4103759846647561
3000047,211.0510456084157,16.784762014296362,-0.15240234267081101,185.07234472487968,3844.7922476217364,1.8548268592351032,-0.6206345100676045
3000048,102.05563047559554,-37.181386069091914,-14.923475721017239,170.89918150823215,7291.505486209553,0.3768641001954609,0.2581741418935444
3000049,100.07190238449648,-64.52744505107388,-41.07870496984789,152.02227498310796,6508.5469884345075,2.731167754791038,0.39086996035422406
3000050,163.66394718790085,72.03039803985453,54.76826845088261,156.1290978612595,7235.133723215111,2.3499758760982807,-1.1414220440441591
3000051,73.94772405779551,-56.8162780546761,0.05560009815114897,111.02399059085877,4287.233616671292,0.707236498635585,-1.4216240918677143
3000052,72.49633597550633,-42.87340736826572,-0.775756727569991,171.72191669831693,6963.749296489215,1.217730722635434,-0.4597642048513291
3000053,185.0526215342791,-46.37594445133955,-44.0963285014458,170.85884860101385,5698.958404104906,3.483466436300306,0.14547866704827017
3000054,31.402572761089683,-43.94868062432426,-12.521882550151739,82.95684747809199,4189.756473848499,3.499458068477929,-1.5293426531170184
3000055,174.09079164657115,25.645319946730567,50.98717091909809,97.83931485631992,6144.544658478859,1.531552513086563,-2.121828675718762
3000056,130.38343645962001,-27.8899444782287,50.72822606057832,136.04596098587757,6530.724002433551,0.4240562259718189,-1.3257714610253466
3000057,254.7671838536416,-87.91003627102718,1.3008978076434046,122.5290754175619,6676.345258874966,0.8593796920185476,-0.0053781326576927135
3000058,268.82864031672165,18.367192861943636,-37.30588648363296,59.9114082150178,7705.501388824224,0.04387194469557654,-1.3988904999536411
3000059,248.79345186807515,-78.00037581267608,84.81632844827948,17.43348364529566,4461.704056370972,1.3355098931390712,-1.6195122000588227
3000060,248.10494895176907,71.84405999195428,-12.903396370062886,173.41476790867378,7629.252826374328,2.121326803349554,-1.2969536550505336
3000061,134.49604469361418,1.9977549553523204,-20.14629263515588,83.08449410480235,7300.99860465032,2.7451351506201322,-1.366992483404377
3000062,240.52852970469633,-3.7399753560306124,-30.094920219996744,86.69404561001775,6642.502279663401,3.2280369191739418,0.10273713812577245
3000063,122.34551902445445,-37.80223954882254,102.64120785162517,164.2479947321331,6404.717214143366,1.847110522270468,-1.215183107384104
3000064,206.20579315279502,16.392217161571352,25.596735976196765,187.05532186446192,4673.381119673679,4.547966283757873,-1.2105057071400718
3000065,117.29057690335482,-51.809202765971534,-29.003900723851544,29.914816387339254,7439.230632469018,0.715241097643079,-2.4520687442874074
3000066,160.25221773487152,-12.194816431908833,-26.501950033490196,127.77584564788708,4628.344730674968,2.0452543924061697,-2.056626094717303
3000067,22.150415098778137,-43.69449578209176,14.606558987501927,12.54786847807193,6755.651084285936,2.1646226166435794,-0.24483938120893622
3000068,87.36315198636173,49.99927689912724,-39.74881043958205,159.43020125899474,6042.689580681961,3.9500451693041176,-2.3736617644776663
3000069,349.7769382224844,18.754037167507008,-27.402281713603685,193.76963542100773,4782.094771736955,4.16162685298177,0.4613772682888504
3000070,83.01031356782663,67.25762896382636,121.8311871445427,132.54936299574882,6324.5812821301915,4.2479169806182675,0.30912201660858196
3000071,248.93190394103888,-46.51149361994245,19.829005145422073,163.76512420513825,7255.463788079167,4.551316108228304,-0.6952925666116778
3000072,234.17166895694623,14.314273654255103,-51.222102515896815,109.22231610381725,5312.258089384878,4.676818442298696,-1.2583299928117126
