image_id,ra_center,dec_center,filter,exptime_s
1,348.1307420449236,17.84154201978407,F125W,1200
2,197.00360970326003,67.32088084983044,F606W,3600
3,350.16636958735836,31.736904322574063,F125W,800
4,257.3337577227713,80.20818026917149,F160W,2400
5,251.18237685501748,-55.47596788344041,F125W,1200
6,77.7922184089355,7.938066935215389,F160W,3600
7,351.458803719447,50.771972398521314,F160W,1200
8,2.2428918736523507,16.149651798235524,F606W,800
9,91.07365045803982,-45.61313301784602,F814W,1200
10,156.5249516656005,-24.691010499431215,F160W,3600
11,280.5778518457509,-24.5143833085979,F814W,1200
12,71.16662685609111,-35.48843322223454,F606W,800
13,310.67756481572,27.192872366897518,F814W,1200
14,354.0242437831126,62.26577157440164,F814W,800
15,58.98320690569154,25.02483243817632,F814W,1200
16,215.04021981582932,-23.96084721317689,F160W,2400
17,3.2349951603197935,33.462213493308525,F606W,800
18,139.16566175170658,-85.37176018120375,F125W,800
19,15.897620855339847,68.140962640119,F125W,800
20,344.3950683771249,-40.06415981555171,F160W,800
21,157.01279287672716,88.07033402737298,F606W,2400
22,341.6318304413626,-53.39391268971266,F160W,2400
23,283.0701549366219,-62.429382386711445,F125W,3600
24,311.86414748941144,-21.070573044536403,F125W,800
25,62.33955173854134,79.99959434927104,F160W,2400
26,26.98149132471853,82.9625581633523,F125W,1200
27,216.26737969599694,-81.92899350877177,F160W,800
28,60.46998613862538,26.063163261016243,F125W,3600
29,264.0168603038052,13.617710212309717,F125W,1200
30,147.0397896547253,87.7829593614974,F125W,2400
31,190.04717643045132,20.384845697098,F606W,800
32,337.52577022233913,-56.342835833259585,F125W,1200
33,187.81060408018487,49.178526445257575,F125W,2400
34,38.94961783940305,81.23732462835756,F160W,2400
35,56.960426586527795,58.73245893466094,F160W,1200
36,196.2729546131566,-55.51283990992649,F606W,2400
37,188.78546882465042,-86.22275506163749,F814W,2400
38,229.53968788535772,39.51155264737213,F125W,800
39,144.53835969249823,32.49508974319485,F160W,1200
40,233.92983924696324,62.3787280856117,F160W,1200
41,142.88400104462374,31.553214257291003,F814W,800
42,224.6098008773603,16.841366603549034,F160W,1200
43,276.2657881524446,84.17699368621072,F606W,1200
44,64.4306076148071,45.843659497133814,F160W,2400
45,135.20727669151526,-70.56054059747709,F125W,1200
46,180.91190135769637,-34.8394607795653,F814W,2400
47,247.2001487698845,36.40190425224063,F160W,2400
48,91.32467351809794,-38.21332200422644,F125W,2400
49,199.70671065932106,87.92502803588414,F606W,1200
50,224.97510386307516,-77.44879650163475,F125W,2400
51,322.3804197802126,87.225313265988,F606W,3600
52,130.62729183592552,35.71704121541765,F606W,1200
53,229.5205462867452,38.05657293011447,F606W,1200
54,68.9207047628268,-54.66047597226621,F814W,800
55,179.20588126223006,-23.55595940728506,F160W,2400
56,65.68034564563446,38.20838945824053,F814W,800
57,330.61789409031456,-24.00330144276481,F125W,2400
58,155.45594568284196,33.90305228409248,F814W,2400
59,298.8677167554047,1.4370464711214765,F160W,1200
60,150.03946968421053,78.91442341725377,F606W,800
61,325.6803319476121,-2.2774151450555564,F606W,800
62,145.73707823192618,-49.55693250304579,F125W,800
63,119.22282111280418,-6.521077701439523,F814W,2400
64,205.9699572981895,49.54082948472782,F125W,2400
65,304.3597136738808,29.87067023166233,F160W,1200
66,309.9651522311059,-39.51794720355868,F160W,1200
67,214.44772214460042,-40.36446173717662,F160W,800
68,30.478179967347693,33.62702067499585,F606W,2400
69,215.01597863490298,-57.713099246652106,F606W,3600
70,88.36333508991676,4.836889445051,F606W,800
71,263.7336414923884,85.57759209589815,F814W,2400
72,322.074465234026,-49.613447233846664,F125W,3600
73,185.30422952873224,79.54202604659164,F606W,1200
74,217.2828637296743,87.83128204611407,F125W,2400
75,23.424412457810643,61.997974587198854,F160W,1200
76,194.4269026714103,83.93042694202961,F125W,3600
77,46.507242121357564,19.921985613681002,F125W,1200
78,221.2426246861195,-42.18242466577235,F160W,800
79,130.91412493614163,39.36372409925855,F125W,3600
80,276.39289235906847,18.52225160529663,F814W,800
81,17.472289111038904,-21.40079792042836,F606W,1200
82,39.53452252242385,74.30901088815429,F125W,3600
83,246.24835744450596,-34.195050575178726,F814W,800
84,185.27533095011634,42.518276186268,F160W,800
85,205.7908937813097,-81.04403451991394,F160W,3600
86,303.734517836636,-68.53365484326324,F814W,800
87,175.58555009388274,20.934671180927324,F606W,3600
88,291.65199196541215,-83.0414835243566,F814W,800
89,183.68770654617842,-30.99304560121964,F125W,800
90,333.6194495664904,-78.53161168342595,F606W,3600
91,240.09399775426536,55.063989147865044,F160W,1200
92,53.5416621962605,82.58982908839582,F125W,1200
93,131.2391431172721,44.774396519112855,F814W,3600
94,311.67896973987575,-41.211572085944496,F160W,1200
95,126.10267590798564,23.329749051452836,F606W,3600
96,68.04927340421574,30.472309970638364,F814W,800
97,170.1436712996783,32.61689555730912,F606W,3600
98,141.40122293596679,-85.0636853762198,F814W,3600
99,222.81477359187372,13.331673369074963,F160W,1200
100,157.23586509822476,25.706310295579556,F814W,2400
101,93.93197662601838,-41.621204440262844,F814W,3600
102,148.48999619859245,26.206135781963155,F814W,800
103,150.85225243882815,-52.14080037129585,F160W,3600
104,324.87186811541073,6.328631070417146,F814W,800
105,352.66185433457474,12.83129642318653,F606W,3600
106,224.48478218648899,64.88112945133986,F814W,1200
107,29.94628412551002,-82.86270022818961,F125W,800
108,263.8795383345582,-22.835544842829236,F125W,1200
109,244.32674489243425,-12.059990132614118,F125W,1200
110,297.36823212907905,-79.08481337792755,F125W,800
111,125.08248121598004,62.75677843065023,F160W,800
112,21.196833896924325,-57.6514793701312,F160W,3600
113,220.25585392390516,-18.459606082174773,F814W,1200
114,44.64526259277791,-53.34574098278586,F160W,3600
115,273.4306304987993,-15.46662268069727,F606W,1200
116,285.99239432759117,11.627292811795044,F125W,3600
117,147.10564322996325,-53.21154778926656,F606W,800
118,339.7671021178964,-19.410568671914206,F606W,800
119,62.56072575189931,88.06428264633163,F606W,3600
120,339.33090590171287,45.37087660683241,F160W,3600
121,167.57628293431284,68.00293966578354,F160W,800
122,274.6777108591318,34.10839441561525,F814W,3600
123,271.01527037294863,-64.76657669119135,F160W,800
124,353.23557088725386,-63.017478504784144,F160W,1200
125,350.38007788641505,-66.70975484958464,F160W,800
126,14.432804870820615,-35.59163865702106,F606W,2400
127,5.7496599113618485,68.84751326547118,F606W,2400
128,195.58451340847228,-20.88402957602551,F125W,800
129,12.195942443427295,-26.563249918141402,F606W,3600
130,236.6944689006981,-70.62513103626223,F814W,2400
131,192.56493659920292,-57.973927715931694,F160W,1200
132,239.96102259609364,77.84539117974032,F814W,3600
133,158.88265357416122,69.51192255843185,F125W,3600
134,98.089725140545,-75.78527530093085,F606W,1200
135,341.88081838122383,-35.96825436427926,F125W,1200
136,262.1769984695689,35.838537528441364,F160W,3600
137,2.2766174155737895,-89.57378521391423,F125W,800
138,35.75799536190282,-28.20417465974844,F160W,800
139,227.40920824499264,79.89355957029517,F160W,800
140,103.69325771917494,-65.19971108648029,F606W,3600
141,146.74380382499675,23.903967258788057,F160W,3600
142,281.3512046031755,-45.62561421636523,F606W,2400
143,127.49239374457152,25.981300648444588,F814W,3600
144,333.29109502053325,44.90284176294355,F606W,800
145,259.36276371286186,-7.278973622470005,F125W,3600
146,198.69351866329487,16.370339935559713,F814W,3600
147,65.14734096903686,42.64859825631726,F125W,800
148,147.4529002803538,-66.2252720393092,F606W,3600
149,274.6374443435964,-4.867144832912032,F160W,3600
150,356.68685466614056,-22.241988929066935,F160W,3600
151,26.51485468342559,11.181665954553367,F606W,1200
152,48.51093852063982,18.279074024222055,F606W,800
153,266.41610280069335,18.747382089454092,F125W,800
154,300.1612931717009,-9.05617284993832,F125W,1200
155,31.95822866047297,8.881743178592998,F160W,800
156,298.59046189956206,49.24500866225833,F160W,1200
157,283.22363319663043,-57.3283428164896,F160W,1200
158,247.75965835348538,72.93202655742283,F814W,2400
159,122.37350993357582,58.63714320346571,F814W,2400
160,160.03463923234816,-44.161724670477845,F606W,3600
161,131.88101013055234,4.425752145316622,F125W,2400
162,302.5677832999856,53.08342338737339,F160W,3600
163,118.19596927712693,40.75078680151424,F125W,2400
164,116.12699145117206,-58.36543720144715,F814W,3600
165,336.70470860412746,83.63023977246593,F814W,800
166,331.1954451712432,65.40394609739766,F125W,3600
167,348.72268513578547,-47.12241514628374,F606W,1200
168,290.71762315725624,13.736835273253078,F814W,1200
169,31.289622351395483,86.53389713483111,F606W,800
170,32.72779858352768,-82.74022855812935,F125W,2400
171,200.54954709547346,-25.58902729875645,F606W,800
172,308.22615753401436,-35.190564688861315,F125W,2400
173,318.31123103109655,-46.423675314315,F814W,3600
174,229.26552223197632,29.634001458381306,F606W,800
175,344.08965383420957,62.24335878635691,F125W,3600
176,54.678816443771005,-61.1612147817318,F160W,3600
177,79.76913479299908,-37.90310904549307,F814W,3600
178,119.69826011549873,-37.05577499153495,F160W,3600
179,92.44977151736057,-24.247408242400994,F814W,3600
180,112.3938116208187,-67.91208465294137,F814W,1200
181,42.64038588009053,27.531350155965413,F606W,1200
182,135.12245160108085,-15.48471401698356,F160W,800
183,10.718638823786101,59.94904791955051,F160W,1200
184,193.6013998231968,27.618266170246656,F606W,1200
185,340.4981860831596,82.92082133708243,F606W,800
186,160.24506950169652,-63.10945695859989,F606W,3600
187,224.69516795891673,-36.39108733373993,F606W,3600
188,220.25244549662247,-36.64637620283859,F125W,2400
189,336.0165005091745,-28.992471326801912,F814W,1200
190,264.42685908311375,-36.907379916090825,F814W,1200
191,296.93553415416875,53.178507825100326,F160W,1200
192,120.90578756488442,28.913465022334407,F160W,800
193,326.6872727141092,-80.34266491360282,F125W,2400
194,66.67532430239261,-73.16975022621418,F125W,1200
195,146.8736168018223,35.16002188776025,F125W,800
196,265.4827104292835,45.00404927665562,F160W,2400
197,120.044297434966,81.68771626190161,F160W,3600
198,319.00832328748777,59.13993529190907,F125W,1200
199,309.8361103689172,-5.849313958444213,F606W,3600
200,59.442523343959415,-26.401110901127936,F814W,3600
201,83.06853902199938,69.57435811079574,F160W,3600
202,18.876556327104943,33.918148674452425,F606W,800
203,309.1395054561426,71.05473351171679,F160W,3600
204,122.1209669606828,-49.59047720948394,F606W,800
205,141.56882221196003,50.276984695585355,F606W,2400
206,97.33157360578882,89.688180526569,F606W,800
207,44.362039942588254,-76.82614533846345,F125W,800
208,164.4981270343435,-43.570114815120256,F814W,2400
209,84.49813910982299,-60.49385727159721,F814W,3600
210,202.73516457477328,35.63233819731208,F814W,1200
211,72.99541718620517,32.58569790169963,F606W,2400
212,184.09942156886953,-72.40699870114719,F814W,800
213,341.3973182194389,11.902518216330137,F814W,800
214,133.86013429062962,87.90467259574174,F160W,3600
215,343.51887215976484,44.07685150491915,F160W,800
216,20.59412985203287,80.59445988589664,F160W,3600
217,197.56984258154964,-40.64160673954497,F160W,800
218,215.92709682811187,58.14376687626671,F125W,2400
219,346.2311943885095,59.52513741213755,F814W,1200
220,333.0666472422322,-70.63327505530795,F606W,3600
221,183.9262066264999,64.62721952108996,F125W,1200
222,273.4150104595011,13.236091373781221,F814W,3600
223,351.32590137870557,-36.3563275066318,F814W,2400
224,265.1400950267768,-66.56067195941787,F125W,3600
225,343.4241506235418,-15.505180105148355,F160W,3600
226,338.00183255493573,56.536994286800564,F606W,2400
227,173.43617810397518,-53.70110605567809,F814W,1200
228,237.56192311687855,40.47236959598786,F606W,3600
229,64.74586785044336,-47.247805743358384,F606W,800
230,157.32845006956964,-25.809699234845922,F125W,800
231,311.8047079825417,26.191092482187074,F814W,3600
232,207.80354529087734,-32.106396133757556,F606W,1200
233,100.60329750861845,-78.41051831224759,F160W,1200
234,44.20413099576574,-14.14593663746031,F160W,3600
235,83.4678726546077,-77.55663583703833,F160W,1200
236,44.99732332322062,-79.94293720914878,F606W,2400
237,84.16095488197192,-46.86382128649171,F160W,2400
238,138.08880361451597,78.43243945832052,F125W,800
239,15.443471118086514,14.959337291242875,F125W,2400
240,301.93585087409014,71.02471084469497,F606W,2400
241,145.37169421459234,19.636425135359403,F160W,3600
242,204.25282721867296,83.72881899063478,F160W,800
243,229.00824531509159,-41.05990495847038,F125W,2400
244,47.82312232779225,22.254787038001325,F606W,3600
245,29.774740252628327,-13.900726095746876,F814W,3600
246,56.35159658343116,-47.361523474550665,F606W,1200
247,355.04090039881896,10.796005199312603,F160W,3600
248,37.625487113977,89.16294772341234,F160W,3600
249,152.15613172761758,41.26558150252404,F814W,800
